case,algorithm,cut,T,num,LB,UB,gap_str,time,runtime
case30,SDDPL,SBCSMC,6,5,3299.9903544749395,3303.018777933922,0.09%,195.027,204.877
case30,SDDPL,SBCSMC,8,5,5524.940062714431,5528.2620816561475,0.06%,326.722,343.807
case30,SDDPL,SBCSMC,12,5,9741.132839767026,9728.39657514708,-0.13%,1644.666,1699.203
case30,SDDPL,SBCSMC,6,10,3279.61122546608,3282.665169608694,0.09%,55.24,60.932
case30,SDDPL,SBCSMC,8,10,5497.7274400578135,5494.0379201582455,-0.07%,127.985,138.401
case30,SDDPL,SBCSMC,12,10,10527.055024793275,10529.091776870973,0.02%,2390.144,2455.759
case30,SDDPL,SBCPLC,6,5,3299.46623547747,3302.745110684349,0.1%,42.218,46.667
case30,SDDPL,SBCPLC,8,5,5526.5255608432235,5522.131108381948,-0.08%,635.398,656.303
case30,SDDPL,SBCPLC,12,5,9725.978138872204,9723.358106757352,-0.03%,2943.075,3007.139
case30,SDDPL,SBCPLC,6,10,3277.7478792895054,3280.8505880440503,0.09%,43.85,49.969
case30,SDDPL,SBCPLC,8,10,5505.322776048153,5508.665032776021,0.06%,1767.189,1802.724
case30,SDDPL,SBCPLC,12,10,10508.069910545846,10582.696653121262,0.71%,3706.138,3772.666
case30,SDDPL,NormalizedCut,6,5,3298.710323877909,3301.128307724704,0.07%,192.018,202.124
case30,SDDPL,NormalizedCut,8,5,5512.515089905279,5511.4390925667685,-0.02%,654.178,677.772
case30,SDDPL,NormalizedCut,12,5,9787.163315588217,9784.827504256118,-0.02%,110.877,121.901
case30,SDDPL,NormalizedCut,6,10,3281.216697451353,3284.305280939369,0.09%,165.366,176.208
case30,SDDPL,NormalizedCut,8,10,5499.527348680978,5498.535154529135,-0.02%,276.227,289.865
case30,SDDPL,NormalizedCut,12,10,10670.485369590955,10567.034383533206,-0.98%,276.289,295.033
